entry_utc,event_slug,market_slug,city,target_date,side,bucket,tier,price,shares,stake,fee,trigger_ask,peak_ask,potential_profit,status,payout,pnl,settle_utc
2026-07-19T03:04:58Z,highest-temperature-in-seoul-on-july-19-2026,highest-temperature-in-seoul-on-july-19-2026-27c,seoul,2026-07-19,YES,27°C,65-74c,0.69,14.49,10.0,0.155,0.69,0.69,4.33,open,,,
2026-07-19T03:04:58Z,highest-temperature-in-kuala-lumpur-on-july-19-2026,highest-temperature-in-kuala-lumpur-on-july-19-2026-31c,kuala-lumpur,2026-07-19,NO,31°C,10-19c,0.92,10.87,10.0,0.04,0.18,0.43,0.83,open,,,
2026-07-19T03:10:10Z,highest-temperature-in-manila-on-july-19-2026,highest-temperature-in-manila-on-july-19-2026-33c,manila,2026-07-19,NO,33°C,10-19c,0.91,10.99,10.0,0.045,0.11,0.43,0.95,open,,,
2026-07-19T08:25:29Z,highest-temperature-in-chongqing-on-july-19-2026,highest-temperature-in-chongqing-on-july-19-2026-35c,chongqing,2026-07-19,YES,35°C,85-97c,0.939,10.65,10.0,0.0305,0.939,0.939,0.62,open,,,
2026-07-19T08:25:29Z,highest-temperature-in-wuhan-on-july-19-2026,highest-temperature-in-wuhan-on-july-19-2026-33c,wuhan,2026-07-19,YES,33°C,85-97c,0.949,10.54,10.0,0.0255,0.949,0.949,0.51,open,,,
2026-07-19T08:25:29Z,highest-temperature-in-helsinki-on-july-19-2026,highest-temperature-in-helsinki-on-july-19-2026-20c,helsinki,2026-07-19,YES,20°C,85-97c,0.87,11.49,10.0,0.065,0.87,0.87,1.43,open,,,
2026-07-19T08:25:29Z,highest-temperature-in-karachi-on-july-19-2026,highest-temperature-in-karachi-on-july-19-2026-32c,karachi,2026-07-19,YES,32°C,65-74c,0.7,14.29,10.0,0.15,0.7,0.7,4.14,open,,,
2026-07-19T08:25:29Z,highest-temperature-in-singapore-on-july-19-2026,highest-temperature-in-singapore-on-july-19-2026-33c,singapore,2026-07-19,NO,33°C,10-19c,0.97,10.31,10.0,0.015,0.118,0.51,0.3,open,,,
2026-07-19T08:25:29Z,highest-temperature-in-tel-aviv-on-july-19-2026,highest-temperature-in-tel-aviv-on-july-19-2026-35c,tel-aviv,2026-07-19,NO,35°C,10-19c,0.91,10.99,10.0,0.045,0.19,0.57,0.95,open,,,
2026-07-19T08:25:29Z,highest-temperature-in-buenos-aires-on-july-19-2026,highest-temperature-in-buenos-aires-on-july-19-2026-14c,buenos-aires,2026-07-19,NO,14°C,10-19c,0.87,11.49,10.0,0.065,0.14,0.41,1.43,open,,,
2026-07-19T08:25:29Z,highest-temperature-in-nyc-on-july-19-2026,highest-temperature-in-nyc-on-july-19-2026-82-83f,nyc,2026-07-19,NO,82-83°F,10-19c,0.83,12.05,10.0,0.085,0.18,0.49,1.97,open,,,
2026-07-19T08:25:29Z,highest-temperature-in-chengdu-on-july-19-2026,highest-temperature-in-chengdu-on-july-19-2026-38c,chengdu,2026-07-19,NO,38°C,20-29c,0.84,11.9,10.0,0.08,0.23,0.59,1.82,open,,,
2026-07-19T08:25:29Z,highest-temperature-in-dallas-on-july-19-2026,highest-temperature-in-dallas-on-july-19-2026-96-97f,dallas,2026-07-19,NO,96-97°F,20-29c,0.75,13.33,10.0,0.125,0.26,0.41,3.21,open,,,
