scan_utc,kind,event_slug,detail,edge,sum_ask,sum_bid,market_prob,model_prob,volume24hr,liquidity,note
2026-07-10T07:00:44Z,crypto_btc,bitcoin-above-62k-on-july-14-2026,"BTC > $62,000 luc 2026-07-14T16:00:00Z; spot $63,776, DVOL 37%; mua NO @0.190; RONG +0.049 sau phi",0.0492,,,0.815,0.75,460.12147899999997,15834.2427,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T07:00:44Z,negrisk_buy_all,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,19 o | tong mua 0.952 + phi 0.000 = 0.952 | nhan 1.000 | RONG +0.048,0.048,0.952,0.768,,,37106.387899,778696.4746,MIEN PHI (geopolitics); kiem tra do sau so lenh + gia con hieu luc
2026-07-10T07:00:44Z,negrisk_gan_dat,bank-of-japan-decision-in-july-659,5 o | mua 1.000 + phi 0.003 -> RONG -0.003 (thieu 0.013),-0.0031,1.0,0.978,,,5807.294028,110835.60151,CHUA DANG VAO - chi theo doi
2026-07-10T10:28:44Z,negrisk_buy_all,clacton-by-election-nigel-farage-vote-20260708151424120,6 o | tong mua 0.903 + phi 0.028 = 0.931 | nhan 1.000 | RONG +0.069,0.0688,0.903,0.83,,,6103.126300999999,123459.90846,da tru phi taker; kiem tra do sau so lenh + gia con hieu luc
2026-07-10T10:28:44Z,crypto_eth,ethereum-above-1700-on-july-12-2026,"ETH > $1,700 luc 2026-07-12T16:00:00Z; spot $1,798, DVOL 50%; mua NO @0.033; RONG +0.046 sau phi",0.0457,,,0.973,0.9191,1980.180475,21167.67169,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T10:28:44Z,crypto_btc,bitcoin-above-66k-on-july-13-2026,"BTC > $66,000 luc 2026-07-13T16:00:00Z; spot $64,334, DVOL 37%; mua YES @0.170; RONG +0.045 sau phi",0.0453,,,0.165,0.2252,875.12338,18152.43,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T10:28:44Z,negrisk_gan_dat,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,19 o | mua 0.999 + phi 0.000 -> RONG +0.001 (thieu 0.009),0.001,0.999,0.758,,,51611.181464,757262.74421,CHUA DANG VAO - chi theo doi
2026-07-10T10:28:44Z,negrisk_gan_dat,moana-2026-opening-weekend-box-office-20260706135043555,5 o | mua 0.976 + phi 0.027 -> RONG -0.003 (thieu 0.013),-0.0029,0.976,0.934,,,24930.392309000003,42504.01287,CHUA DANG VAO - chi theo doi
2026-07-10T18:02:58Z,crypto_btc,bitcoin-above-62k-on-july-12-2026,"BTC > $62,000 luc 2026-07-12T16:00:00Z; spot $63,903, DVOL 37%; mua NO @0.044; RONG +0.083 sau phi",0.0833,,,0.957,0.8698,18428.590804,28100.67163,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T18:02:58Z,crypto_btc,bitcoin-above-66k-on-july-12-2026,"BTC > $66,000 luc 2026-07-12T16:00:00Z; spot $63,903, DVOL 37%; mua YES @0.035; RONG +0.072 sau phi",0.0721,,,0.0335,0.1094,12682.177814000004,24581.47887,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
