entry_utc,event_slug,market_slug,city,target_date,lead_days,side,bucket,price,shares,stake,fee,p_model,market_prob,edge,n_members,potential_profit,status,payout,pnl,settle_utc
2026-07-18T08:11:54Z,highest-temperature-in-milan-on-july-19-2026,highest-temperature-in-milan-on-july-19-2026-34c,milan,2026-07-19,1,YES,34°C,0.096,104.17,10.0,0.452,0.484,0.096,0.388,31,93.72,lost,0.0,-10.45,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-qingdao-on-july-20-2026,highest-temperature-in-qingdao-on-july-20-2026-27c,qingdao,2026-07-20,2,YES,27°C,0.1,100.0,10.0,0.45,0.484,0.1,0.384,31,89.55,lost,0.0,-10.45,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-karachi-on-july-18-2026,highest-temperature-in-karachi-on-july-18-2026-34c,karachi,2026-07-18,0,NO,34°C,0.62,16.13,10.0,0.19,0.0,0.38,0.38,31,5.94,won,16.13,5.94,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-helsinki-on-july-20-2026,highest-temperature-in-helsinki-on-july-20-2026-19c,helsinki,2026-07-20,2,NO,19°C,0.59,16.95,10.0,0.205,0.032,0.41,0.378,31,6.74,won,16.95,6.74,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-austin-on-july-18-2026,highest-temperature-in-austin-on-july-18-2026-94-95f,austin,2026-07-18,0,NO,94-95°F,0.53,18.87,10.0,0.235,0.097,0.47,0.373,31,8.64,lost,0.0,-10.23,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-paris-on-july-20-2026,highest-temperature-in-paris-on-july-20-2026-24c,paris,2026-07-20,2,NO,24°C,0.53,18.87,10.0,0.235,0.097,0.47,0.373,31,8.64,lost,0.0,-10.23,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-singapore-on-july-20-2026,highest-temperature-in-singapore-on-july-20-2026-30c,singapore,2026-07-20,2,YES,30°C,0.08,125.0,10.0,0.46,0.452,0.08,0.372,31,114.54,lost,0.0,-10.46,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-shanghai-on-july-20-2026,highest-temperature-in-shanghai-on-july-20-2026-30c,shanghai,2026-07-20,2,YES,30°C,0.048,208.33,10.0,0.476,0.419,0.048,0.371,31,197.85,lost,0.0,-10.48,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-cape-town-on-july-18-2026,highest-temperature-in-cape-town-on-july-18-2026-17c,cape-town,2026-07-18,0,NO,17°C,0.63,15.87,10.0,0.185,0.0,0.37,0.37,31,5.68,won,15.87,5.68,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-singapore-on-july-19-2026,highest-temperature-in-singapore-on-july-19-2026-32c,singapore,2026-07-19,1,NO,32°C,0.63,15.87,10.0,0.185,0.0,0.37,0.37,31,5.68,lost,0.0,-10.19,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-tokyo-on-july-19-2026,highest-temperature-in-tokyo-on-july-19-2026-34c,tokyo,2026-07-19,1,YES,34°C,0.05,200.0,10.0,0.475,0.419,0.05,0.369,31,189.53,lost,0.0,-10.47,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-mexico-city-on-july-18-2026,highest-temperature-in-mexico-city-on-july-18-2026-24c,mexico-city,2026-07-18,0,NO,24°C,0.57,17.54,10.0,0.215,0.065,0.43,0.365,31,7.32,won,17.54,7.32,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-taipei-on-july-19-2026,highest-temperature-in-taipei-on-july-19-2026-36c,taipei,2026-07-19,1,NO,36°C,0.64,15.62,10.0,0.1799,0.0,0.36,0.36,31,5.44,lost,0.0,-10.18,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-kuala-lumpur-on-july-19-2026,highest-temperature-in-kuala-lumpur-on-july-19-2026-33c,kuala-lumpur,2026-07-19,1,NO,33°C,0.64,15.62,10.0,0.1799,0.0,0.36,0.36,31,5.44,won,15.62,5.44,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-mexico-city-on-july-19-2026,highest-temperature-in-mexico-city-on-july-19-2026-25c,mexico-city,2026-07-19,1,NO,25°C,0.64,15.62,10.0,0.1799,0.0,0.36,0.36,31,5.44,lost,0.0,-10.18,2026-07-20T11:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-mexico-city-on-july-19-2026,highest-temperature-in-mexico-city-on-july-19-2026-26c,mexico-city,2026-07-19,1,NO,26°C,0.64,15.62,10.0,0.1799,0.0,0.36,0.36,31,5.44,won,15.62,5.44,2026-07-20T11:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-manila-on-july-20-2026,highest-temperature-in-manila-on-july-20-2026-33c,manila,2026-07-20,2,NO,33°C,0.64,15.62,10.0,0.1799,0.0,0.36,0.36,31,5.44,lost,0.0,-10.18,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-karachi-on-july-20-2026,highest-temperature-in-karachi-on-july-20-2026-33c,karachi,2026-07-20,2,NO,33°C,0.64,15.62,10.0,0.1799,0.0,0.36,0.36,31,5.44,lost,0.0,-10.18,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-wuhan-on-july-19-2026,highest-temperature-in-wuhan-on-july-19-2026-28corbelow,wuhan,2026-07-19,1,YES,<=28°C,0.029,344.83,10.0,0.4855,0.387,0.029,0.358,31,334.34,lost,0.0,-10.49,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-wellington-on-july-19-2026,highest-temperature-in-wellington-on-july-19-2026-13c,wellington,2026-07-19,1,YES,13°C,0.45,22.22,10.0,0.275,0.806,0.45,0.356,31,11.94,won,22.22,11.94,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-manila-on-july-19-2026,highest-temperature-in-manila-on-july-19-2026-31c,manila,2026-07-19,1,YES,31°C,0.16,62.5,10.0,0.42,0.516,0.16,0.356,31,52.08,lost,0.0,-10.42,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-chongqing-on-july-20-2026,highest-temperature-in-chongqing-on-july-20-2026-36c,chongqing,2026-07-20,2,YES,36°C,0.16,62.5,10.0,0.42,0.516,0.16,0.356,31,52.08,lost,0.0,-10.42,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-madrid-on-july-20-2026,highest-temperature-in-madrid-on-july-20-2026-37c,madrid,2026-07-20,2,NO,37°C,0.52,19.23,10.0,0.24,0.129,0.48,0.351,31,8.99,won,19.23,8.99,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-seattle-on-july-18-2026,highest-temperature-in-seattle-on-july-18-2026-80-81f,seattle,2026-07-18,0,YES,80-81°F,0.037,270.27,10.0,0.4815,0.387,0.037,0.35,31,259.79,lost,0.0,-10.48,2026-07-19T10:00:24Z
2026-07-18T08:11:54Z,highest-temperature-in-chongqing-on-july-19-2026,highest-temperature-in-chongqing-on-july-19-2026-36c,chongqing,2026-07-19,1,NO,36°C,0.65,15.38,10.0,0.1749,0.0,0.35,0.35,31,5.21,won,15.38,5.21,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-houston-on-july-18-2026,highest-temperature-in-houston-on-july-18-2026-94-95f,houston,2026-07-18,0,NO,94-95°F,0.49,20.41,10.0,0.255,0.161,0.51,0.349,31,10.15,won,20.41,10.15,2026-07-19T09:00:17Z
