entry_utc,event_slug,city,target_date,n_buckets_theoretical,sum_ask_theoretical,shares_theoretical,sum_ask_actual,shares_filled,cost_actual,fee_est,locked_profit_actual,status,order_ids,note
2026-07-29T19:44:43Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:45:11Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:45:47Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:46:15Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:46:50Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:47:18Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:47:54Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:48:23Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:34:17Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '90-91°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.290 > gia toi da chap nhan 0.286 (Gamma bao gia 0.280 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:34:53Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.640 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:35:22Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.630 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:35:57Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.660 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:36:26Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.660 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:37:01Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.650 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:37:30Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.650 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
